; Pressure Measurement Judayta		
;DC_ID	 TIME	PRESSURE

J2564	0:00	0.06
J2564	0:10	5.83
J2564	0:20	5.83
J2564	0:30	5.83
J2564	0:40	5.89
J2564	0:50	60.21
J2564	1:00	176.02
J2564	1:10	300
J2564	1:20	199.81
J2564	1:30	195.3
J2564	1:40	300
J2564	1:50	300
J2564	2:00	300
J2564	2:10	300
J2564	2:20	300
J2564	2:30	300
J2564	2:40	300
J2564	2:50	300
J2564	3:00	300
J2564	3:10	300
J2564	3:20	300
J2564	3:30	300
J2564	3:40	300
J2564	3:50	300
J2564	4:00	300

J2429	0:55	0
J2429	1:05	42.72
J2429	1:15	91.47
J2429	1:25	79.49
J2429	1:35	69.27
J2429	1:45	98.71
J2429	1:55	106.97
J2429	2:05	118.43
J2429	2:15	108.77
J2429	2:25	109.79
J2429	2:35	114.3
J2429	2:45	115.61
J2429	2:55	110.41
J2429	3:05	116.57
J2429	3:15	121.61
J2429	3:25	117.36
J2429	3:35	119.96
J2429	3:45	122.68
J2429	3:55	123.32
J2429	4:05	145.85
J2429	4:15	146.87
J2429	4:25	145.5
J2429	4:35	134.34
J2429	4:45	149.2
J2429	4:55	125.73
J2429	5:05	147.5
J2429	5:15	149.86
J2429	5:25	149.16
J2429	5:35	148.51
J2429	5:45	118.28
J2429	5:55	130.76
J2429	6:05	137.78
J2429	6:15	142.43
J2429	6:25	144.19
J2429	6:35	147.04
J2429	6:45	147.23
J2429	6:55	147.15
J2429	7:05	148.04
J2429	7:15	148.67
J2429	7:25	150.09
J2429	7:35	149.93
J2429	7:45	150.94
J2429	7:55	150.83
J2429	8:05	151.46
J2429	8:15	150.43
J2429	8:25	151.74
J2429	8:35	150.81
J2429	8:45	151.15
J2429	8:55	152.07
J2429	9:05	153.66
J2429	9:15	153.48
J2429	9:25	153.99
J2429	9:35	154.51
J2429	9:45	154.85
J2429	9:55	155.7
J2429	10:05	156.56
J2429	10:15	157.13
J2429	10:25	157.41
J2429	10:35	159.24
J2429	10:45	159.52
J2429	10:55	159.52
J2429	11:05	160.5
J2429	11:15	161.02
J2429	11:25	161.36
J2429	11:35	163.02
J2429	11:45	160.2
J2429	11:55	161.95
J2429	12:05	162.33
J2429	12:15	162.96
J2429	12:25	164.33
J2429	12:35	164.2
J2429	12:45	166.43
J2429	12:55	168.08
J2429	13:05	168.2

J2429	13:15	168.71
J2429	13:25	169.45
J2429	13:35	169.45
J2429	13:45	169.91
J2429	13:55	169.96
J2429	14:05	170.6
J2429	14:15	171.04
J2429	14:25	171.35
J2429	14:35	171.68
J2429	14:45	171.91
J2429	14:55	172.49
J2429	15:05	172.2
J2429	15:15	172.49
J2429	15:25	173.4
J2429	15:35	181.08
J2429	15:45	182.82
J2429	15:55	182.18
J2429	16:05	183.28
J2429	16:15	183.17
J2429	16:25	183.62
J2429	16:35	182.87
J2429	16:45	183.9
J2429	16:55	184.14
J2429	17:05	185.28
J2429	17:15	187.02
J2429	17:25	187.25
J2429	17:35	187.54
J2429	17:45	188.63
J2429	17:55	190.19
J2429	18:05	191.06
J2429	18:15	191.34
J2429	18:25	192.84
J2429	18:35	192.61
J2429	18:45	191.79
J2429	18:55	192.84
J2429	19:05	192.04
J2429	19:15	192.61
J2429	19:25	191.06
J2429	19:35	187.77
J2429	19:45	188.11
J2429	19:55	199.21
J2429	20:05	200.47
J2429	20:15	204.71
J2429	20:25	201.93
J2429	20:35	201.7
J2429	20:45	200.31
J2429	20:55	197.64
J2429	21:05	191.18
J2429	21:15	186.78
J2429	21:25	190.01
J2429	21:35	190.36
J2429	21:45	183.84
J2429	21:55	191.4
J2429	22:05	188.46
J2429	22:15	183.03
J2429	22:25	188.51
J2429	22:35	190.01
J2429	22:45	199
J2429	22:55	197.89
J2429	23:05	197.44
J2429	23:15	197.26
J2429	23:25	201.3
J2429	23:35	203.28
J2429	23:45	199.44
J2429	23:55	202.34
J2429	24:05:00	195.35
J2429	24:15:00	158.02
J2429	24:25:00	0
J2429	24:35:00	0
J2429	24:45:00	0

J2486	0:25	0
J2486	0:35	0
J2486	0:45	0
J2486	0:55	0
J2486	1:05	1.82
J2486	1:15	1
J2486	1:25	0
J2486	1:35	0
J2486	1:45	0.15
J2486	1:55	0.74
J2486	2:05	6.49
J2486	2:15	8.74
J2486	2:25	9.82
J2486	2:35	10.21
J2486	2:45	10.61
J2486	2:55	10.11
J2486	3:05	12.09
J2486	3:15	15.32
J2486	3:25	15.15
J2486	3:35	15.75
J2486	3:45	16.78
J2486	3:55	17.27
J2486	4:05	17.42
J2486	4:15	17.06
J2486	4:25	16.95
J2486	4:35	17.49
J2486	4:45	14.17
J2486	4:55	13.52
J2486	5:05	16.52
J2486	5:15	17.42
J2486	5:25	17.71
J2486	5:35	17.38
J2486	5:45	4.39
J2486	5:55	10.18
J2486	6:05	13.15
J2486	6:15	15.97
J2486	6:25	17.07
J2486	6:35	18.43
J2486	6:45	19.19
J2486	6:55	19.4
J2486	7:05	19.35
J2486	7:15	19.84
J2486	7:25	17.52
J2486	7:35	18.18
J2486	7:45	18.69
J2486	7:55	18.95
J2486	8:05	19.22
